name,team,position,old_nil,new_nil,change,direction
Tuongthach Gatkek,Little Rock,Big,562037,570047,8010,up
Imanuel Zorgvol,Youngstown St.,Big,333711,325706,-8004,down
Shon Tupuola,Valparaiso,Big,330008,322032,-7976,down
Milos Nenadic,Lindenwood,Big,271196,263236,-7959,down
Robert Lewis,Lindenwood,Big,27205,35142,7937,up
Jared Garcia,Nebraska,Big,201197,193297,-7900,down
Patrick Wessler,UNC Wilmington,Big,1124010,1116178,-7832,down
Braden East,Lamar,Big,1080608,1072779,-7829,down
Jordan Gabriel,Marist,Big,36612,44411,7799,up
ND Okafor,Washington St.,Big,981928,974134,-7794,down
Micah Handlogten,Florida,Big,747331,739548,-7782,down
KC Ugwuakazi,Merrimack,Big,537800,530042,-7757,down
JT Toppin,Texas Tech,Big,2380101,2372356,-7745,down
Delrecco Gillespie,Kent St.,Big,1364488,1356746,-7742,down
Jaylen Peterson,Presbyterian,Big,777660,769921,-7739,down
Tyler Behrend,Tulsa,Big,315240,307585,-7655,down
Godslove Nwabude,Eastern Michigan,Big,383747,376120,-7627,down
Stephen Giwa,Rice,Big,182452,174831,-7621,down
Gabe Dynes,USC,Big,162911,155292,-7620,down
Abdul Momoh,Illinois Chicago,Big,250230,242705,-7526,down
Janusz Ratowski,Stetson,Big,25997,33498,7501,up
Veljko Ilic,Sam Houston St.,Big,567382,559914,-7468,down
Valentino Pinedo,UNC Greensboro,Big,177666,170203,-7463,down
Troy Glover II,Bowling Green,Big,457371,449910,-7461,down
Joel Armotrading,Nevada,Big,219587,212129,-7457,down
Fredrick King,Murray St.,Big,1262811,1255379,-7432,down
Robert Miller III,LSU,Big,781364,773942,-7421,down
Francis Chukwudebelu,Santa Clara,Big,16227,23627,7399,up
Stephen Byard,Chicago St.,Big,293910,286545,-7365,down
Tyler Harris,Vanderbilt,Big,170848,163492,-7356,down
Sir Issac Herron,Louisiana Tech,Big,61517,68870,7353,up
Stefan Cicic,Pepperdine,Big,184676,177339,-7337,down
Aidan Kehoe,Navy,Big,1590417,1583096,-7320,down
Djahi Binet,Southern Miss,Big,993960,986661,-7299,down
Melian Martinez,Louisiana Tech,Big,237625,230340,-7285,down
Tate Laczkowski,Army,Big,199017,191768,-7250,down
Jaylen Carey,Tennessee,Big,415103,422325,7223,up
Filip Jovic,Auburn,Big,352799,359988,7189,up
Montavious Myrick,Eastern Kentucky,Big,306893,299708,-7185,down
Abass Bodija,Fordham,Big,298870,291697,-7174,down
Zayden High,North Carolina,Big,367181,360013,-7168,down
KJ Debrick,North Carolina A&T,Big,281642,274491,-7151,down
Lazar Djokovic,VCU,Big,732245,725098,-7147,down
Chris Mpaka,Tarleton St.,Big,357255,350109,-7147,down
Gavin Gores,Wyoming,Big,220849,213796,-7054,down
Daniel Rouzan,Bethune Cookman,Big,257405,250358,-7047,down
Cyril Martynov,Fairleigh Dickinson,Big,142339,149356,7016,up
Aidan Shaw,Boston College,Big,400592,393581,-7010,down
Justin Amadi,Mount St. Mary's,Big,69263,76267,7004,up
Zion Sensley,UC Santa Barbara,Big,288842,281841,-7001,down
Legend Geeter,Detroit Mercy,Big,171052,164053,-7000,down
Aleksas Bieliauskas,Wisconsin,Big,168996,161997,-6999,down
Lase Olalere,Charleston Southern,Big,167094,160108,-6986,down
Jonas Sirtautas,Loyola MD,Big,177945,170976,-6969,down
JaVar Daniel,West Georgia,Big,653962,647019,-6943,down
Ven-Allen Lubin,N.C. State,Big,1538994,1532067,-6928,down
Lucas Scroggins,Saint Peter's,Big,398808,391886,-6922,down
Duane Posey,Texas Southern,Big,153207,160117,6910,up
Xander Alarie,Northeastern,Big,298927,292026,-6901,down
Alton Hamilton IV,Eastern Washington,Big,651780,644903,-6877,down
Cade Hornecker,Abilene Christian,Big,157378,150533,-6845,down
Dennis Evans,Grand Canyon,Big,248742,241927,-6815,down
Garfield Turner,Drexel,Big,243834,237048,-6785,down
Isaac Jack,Pacific,Big,369701,362951,-6750,down
Tegra Izay,Southern Miss,Big,143551,136928,-6623,down
Jerald Colonel,Stephen F. Austin,Big,423529,416906,-6623,down
Avantae Parker,Queens,Big,1019437,1012843,-6594,down
Emondrek Erkins-Ford,Jacksonville St.,Big,246971,240471,-6500,down
Anthony Isaac,Manhattan,Big,368708,362252,-6456,down
DaMariee Jones,Southern,Big,516356,509909,-6447,down
Kalifa Sakho,Houston,Big,120263,113848,-6414,down
Elijah Malone,Colorado,Big,126534,120122,-6412,down
Dalton Scantlebury,Penn,Big,188091,181730,-6361,down
Binael Basil,Wagner,Big,248570,242237,-6333,down
Silas Sunday,Hofstra,Big,439689,433375,-6314,down
Christian Oliver,Morgan St.,Big,9936,16230,6294,up
Ryan Soulis,Columbia,Big,201849,195559,-6290,down
Egan Shields,Northern Colorado,Big,217521,211257,-6264,down
Landon Lewis,Brown,Big,760659,754446,-6213,down
Rubén Prey,St. John's,Big,325038,318837,-6200,down
Nikolaos Chitikoudis,Robert Morris,Big,640805,634614,-6191,down
Stephen Williams,South Alabama,Big,618375,612212,-6163,down
Terrance Dixon Jr.,Southern,Big,473012,466885,-6127,down
Isaiah Malone,Florida Gulf Coast,Big,896603,890490,-6113,down
Jaylan Ouwinga,Toledo,Big,120347,114239,-6108,down
Cade Phillips,Tennessee,Big,143109,137051,-6057,down
Trey Simpson,Kennesaw St.,Big,147505,141480,-6025,down
Steven Jamerson II,UCLA,Big,140611,134625,-5986,down
Jayden Fort,Georgetown,Big,153513,147541,-5972,down
Hayden Assemian,South Carolina,Big,159832,153871,-5960,down
Pape N'Diaye,Xavier,Big,254331,248380,-5951,down
Brandon Lieb,Illinois St.,Big,150774,144824,-5950,down
Jamai Felt,Temple,Big,365294,359385,-5908,down
BJ Kolly,UC Riverside,Big,294659,288759,-5901,down
Brock Wisne,Northern Colorado,Big,505320,499444,-5876,down
Jason Schofield,Marist,Big,432484,426613,-5871,down
Christian Reeves,Charleston,Big,1046447,1040580,-5867,down
Treyson Anderson,North Dakota St.,Big,989045,983245,-5800,down
Jonathan Griman,Cal Baptist,Big,154676,160429,5752,up
Shadrak Lasu,LIU,Big,127139,121399,-5740,down
Houston Emory,Delaware,Big,22451,28188,5736,up
Daniel Akitoby,UTSA,Big,196083,190348,-5735,down
Chidi Chiakwelu,Presbyterian,Big,162268,156544,-5724,down
Zaakir Williamson,Saint Peter's,Big,158087,152395,-5692,down
Jorge Diaz Graham,Oregon St.,Big,396248,390560,-5688,down
Iaroslav Niagu,Jacksonville St.,Big,187589,181947,-5642,down
Ian Platteeuw,Davidson,Big,151225,145584,-5640,down
Nadjrick Peat,Coastal Carolina,Big,131682,126080,-5601,down
Jose Roberto Tanchyn,UMBC,Big,404782,399260,-5522,down
Deangelo Elisee,Purdue Fort Wayne,Big,176363,181883,5520,up
Michael Osei-Bonsu,Missouri St.,Big,930735,925256,-5479,down
Dominic Parolin,Boise St.,Big,428528,423057,-5471,down
Lathan Sommerville,Washington,Big,19690,25123,5433,up
Cameron Ward,Michigan St.,Big,552442,557869,5428,up
Darius Duffy,Purdue Fort Wayne,Big,119860,114437,-5423,down
Franck Kepnang,Washington,Big,585439,580017,-5422,down
Aaron Bradshaw,Memphis,Big,246260,240847,-5413,down
Shainen Carter,Georgia Southern,Big,48358,53764,5406,up
Tamaury Releford,Morehead St.,Big,164759,159374,-5385,down
Rafael Castro,George Washington,Big,1982761,1977417,-5344,down
Michael Marcus Jr.,Appalachian St.,Big,98847,93567,-5280,down
Kiree Huie,Eastern Washington,Big,581207,575967,-5240,down
Cameron Clark,South Carolina St.,Big,108874,103639,-5234,down
Malcolm Chimezie,Boston University,Big,114004,108774,-5230,down
Caleb Walker,Air Force,Big,536061,530834,-5228,down
Luke McEldon,Mount St. Mary's,Big,565384,570609,5225,up
Leopold Levillain,Long Beach St.,Big,104079,98858,-5221,down
Preston Copeland,Ball St.,Big,113586,108395,-5191,down
Chase McCarty,Houston,Big,101750,96571,-5180,down
Aly Tounkara,Arkansas St.,Big,173738,168588,-5150,down
Malcolm Thomas,Dayton,Big,160525,155409,-5116,down
Joseph Grahovac,St. Bonaventure,Big,173938,168857,-5081,down
Luke Hunger,George Washington,Big,206068,201003,-5065,down
Justin Neely,UNC Greensboro,Big,1065378,1060355,-5022,down
James Nnaji,Baylor,Big,115181,110177,-5004,down
Mason Ritter,Columbia,Big,91318,86334,-4984,down
Jerrell Colbert,McNeese St.,Big,203852,208802,4950,up
Connor Serven,Mercer,Big,99825,94910,-4915,down
Federiko Federiko,Texas A&M,Big,124236,119349,-4887,down
Jaquan Scott,Arkansas Pine Bluff,Big,511902,507078,-4824,down
Luke Bamgboye,Texas Tech,Big,269210,274016,4806,up
Tarris Reed Jr.,Connecticut,Big,2558896,2563701,4805,up
Derrick Michael Xzavierro,Long Beach St.,Big,5062,9836,4774,up
Riley Allenspach,George Mason,Big,868945,864181,-4763,down
Ege Demir,Oregon,Big,242145,237466,-4678,down
Ethan Potter,Utah Tech,Big,924576,919952,-4624,down
Maxim Logue,Florida Atlantic,Big,170379,174954,4575,up
Jeriah Coleman,Nevada,Big,110538,105976,-4562,down
Matija Belic,Wyoming,Big,93525,88977,-4548,down
Caleb Van De Griend,Idaho St.,Big,886206,881698,-4509,down
Brandon Walker,Mississippi St.,Big,125314,120816,-4498,down
Enel St. Bernard,Indiana St.,Big,544012,548504,4493,up
Matt Dann,Sam Houston St.,Big,140114,135637,-4476,down
Isaac Hawkins,Utah Valley,Big,681322,676849,-4472,down
Corey Chest,Mississippi,Big,507237,502775,-4462,down
Ezra Ausar,USC,Big,1042941,1038548,-4393,down
Thierno Sylla,Memphis,Big,19347,23704,4357,up
Brigham Rogers,Belmont,Big,288508,284154,-4354,down
Dok Muordar,Monmouth,Big,108801,104451,-4351,down
Jaquel Morris,Norfolk St.,Big,130204,125857,-4348,down
Rashaud Marshall,Austin Peay,Big,809870,805541,-4328,down
Salih Altuntas,Miami FL,Big,121027,116714,-4313,down
Ethan Meuser,Stonehill,Big,96482,92171,-4311,down
Grgur Brcic,Bucknell,Big,82813,78524,-4289,down
Kaspar Sepp,Cornell,Big,86617,82334,-4283,down
Markhi Strickland,North Dakota St.,Big,203388,199111,-4277,down
Cenker Evran,Texas A&M Corpus Chris,Big,68256,64026,-4230,down
Jesse McCulloch,Michigan St.,Big,91811,87582,-4229,down
DeSean Goode,Robert Morris,Big,1040879,1036658,-4221,down
Tyson Brown,Radford,Big,197417,193230,-4188,down
Collin Mulholland,Chattanooga,Big,121611,117429,-4182,down
Daniel Mayfield,Mississippi Valley St.,Big,268991,264814,-4177,down
Jon Carroll,Morehead St.,Big,603181,599042,-4138,down
Emmett Adair,Loyola MD,Big,286555,282454,-4101,down
James O'Donnell,Portland,Big,361749,357693,-4056,down
Jerrell Bellamy,Troy,Big,336305,332265,-4040,down
Jaden Brownell,USC,Big,81638,77640,-3999,down
Keelan Steele,Maine,Big,441467,445452,3985,up
Gabe Newhof,James Madison,Big,143154,139169,-3985,down
Gestin Liberis,Saint Francis,Big,77949,73983,-3966,down
Cameron Wallace,Little Rock,Big,284308,280353,-3955,down
Reed Bailey,Indiana,Big,519991,523920,3929,up
Stefanos Spartalis,Monmouth,Big,155541,151665,-3877,down
Josiah Harris,La Salle,Big,168060,164186,-3875,down
Anthony Robinson,Xavier,Big,80587,76713,-3874,down
Brock Vice,Murray St.,Big,154765,150902,-3863,down
Demariontay Hall,Coppin St.,Big,270763,274625,3862,up
John Bol,UCF,Big,835086,831233,-3853,down
N.J. Benson,DePaul,Big,1743978,1747803,3825,up
Valentino Simon,Nebraska Omaha,Big,25371,29175,3804,up
Jerome Palm,UMKC,Big,155700,151930,-3770,down
Josh Hill,Robert Morris,Big,78387,74631,-3756,down
Kai Burdick,Southern Utah,Big,75772,79528,3756,up
Eli Wilborn,James Madison,Big,83511,79776,-3735,down
Mykolaus Ivanauskas,Mercyhurst,Big,223770,220040,-3731,down
John Hugley IV,Duquesne,Big,174150,170436,-3714,down
Cole Hargrove,Providence,Big,24199,27839,3640,up
Kyle Thomas,SIU Edwardsville,Big,55436,51807,-3628,down
Josh Odunowo,UMBC,Big,135709,132082,-3627,down
Chris Hodges,Montana St.,Big,71835,68219,-3616,down
Josh Taylor,East Texas A&M,Big,65191,61583,-3609,down
Vangelis Zougris,Louisville,Big,82533,78977,-3556,down
Kai Rogers,Oklahoma,Big,55218,51673,-3545,down
Davis Bynum,Rider,Big,30627,34165,3538,up
Caden Powell,Baylor,Big,555312,558835,3524,up
Caleb Wilson,North Carolina,Big,2795252,2791743,-3509,down
Khalil Badru,Iona,Big,77366,73925,-3441,down
Dominykas Pleta,Iowa St.,Big,277355,273920,-3434,down
Makai Richards,Chattanooga,Big,29558,32952,3394,up
Jason Asemota,Boston College,Big,179680,176352,-3328,down
Daniel Helterhoff,Rider,Big,10792,14093,3301,up
Chudi Dioramma,Arkansas St.,Big,56119,52844,-3275,down
Mekhi Turner,Tennessee Tech,Big,136587,133317,-3270,down
Luke Gray,Oral Roberts,Big,136621,133351,-3270,down
Alexander Richardson,Loyola Chicago,Big,232240,228991,-3249,down
Flory Bidunga,Kansas,Big,2378528,2375298,-3229,down
Prince Aligbe,Southern Illinois,Big,61596,58376,-3220,down
Amadou Doumbia,North Carolina A&T,Big,141659,144846,3187,up
Caleb Middleton,Elon,Big,62673,59486,-3187,down
Alex Steen,Florida St.,Big,888186,885027,-3159,down
Isaac Davis,Utah Valley,Big,314772,311624,-3148,down
Melvyn Ebonkoli,NJIT,Big,51305,48188,-3116,down
Brock Felder,Seattle,Big,86409,89516,3106,up
Hassane Diallo,Prairie View A&M,Big,52533,49456,-3077,down
Malachi Arrington,NJIT,Big,46709,43661,-3049,down
Bradey Henige,Cal Baptist,Big,53557,50508,-3049,down
Brody Rowbury,Idaho,Big,170885,167847,-3038,down
Mikhail Pocknett,Buffalo,Big,59454,56420,-3034,down
Abou Magassa,Wyoming,Big,47397,44385,-3012,down
Bryce Dortch,Rutgers,Big,150649,147670,-2978,down
Josh Hayes,Utah,Big,52691,49713,-2978,down
Mark Lavrenov,Sacramento St.,Big,158878,155909,-2969,down
Nazareth Fisher,Eastern Illinois,Big,41987,39035,-2953,down
Seth Joba,Idaho,Big,47423,44475,-2948,down
Jorge Moreno,Southern Illinois,Big,42902,39990,-2913,down
Amari Reed,UT Arlington,Big,50698,47827,-2871,down
Ola Ajiboye,Southern Indiana,Big,83550,80703,-2847,down
Nic Codie,Texas,Big,71353,68521,-2831,down
Yvens Paul,Eastern Kentucky,Big,46415,43615,-2800,down
Josiah Shackleford,North Texas,Big,115463,112712,-2751,down
Will Berg,Wichita St.,Big,1021760,1024483,2723,up
Michael Folarin,East Texas A&M,Big,33258,35965,2708,up
Marcus Overstreet,San Jose St.,Big,53673,50973,-2700,down
King Ijeoma,Canisius,Big,8286,10976,2690,up
Keyontae Lewis,Norfolk St.,Big,43407,40736,-2672,down
Andrea Holden,Wright St.,Big,488694,486026,-2668,down
Benjamin Ahmed,Oklahoma St.,Big,141689,139021,-2668,down
Anouar Mellouk,Morehead St.,Big,50001,47339,-2661,down
Ali Assran,Cal Poly,Big,50550,47899,-2651,down
Caelum Swanton-Rodger,Old Dominion,Big,373115,370496,-2620,down
Braden Pierce,Villanova,Big,37895,35282,-2613,down
Pharaoh Compton,San Diego St.,Big,610850,613418,2568,up
Zion Obanla,Maryland Eastern Shore,Big,644067,646593,2526,up
Malik Reneau,Miami FL,Big,1734302,1731833,-2469,down
Mekhi Fitts,Grambling St.,Big,11883,14273,2389,up
Damon Wilkinson,South Dakota St.,Big,870150,867810,-2340,down
Jamarion Davis-Fleming,Mississippi St.,Big,371803,369483,-2320,down
Rokas Jocius,Loyola Marymount,Big,35500,33183,-2317,down
Ibrahim Souare,Syracuse,Big,59558,61866,2308,up
Finn Lally,William & Mary,Big,66424,64130,-2294,down
Cameron Jackson,UT Arlington,Big,47002,44714,-2287,down
Christopher Flippin,Maryland Eastern Shore,Big,36951,34666,-2285,down
Dimitri Clerc,Massachusetts,Big,57078,54814,-2265,down
Andres Burney,Georgia Southern,Big,114280,112017,-2263,down
Evan Otten,Idaho St.,Big,290637,288392,-2244,down
Yacine Toumi,Hawaii,Big,56014,53772,-2243,down
Khadim Mboup,BYU,Big,219011,216778,-2232,down
Kerem Konan,Creighton,Big,98902,96670,-2232,down
Riley Mulvey,Siena,Big,126269,124038,-2231,down
Dylan Veillette,Merrimack,Big,44251,42036,-2215,down
Alec Squires,South Dakota St.,Big,43939,41744,-2196,down
Jayden Stone,Missouri,Wing,1455928,1458115,2187,up
Nordin Kapic,South Carolina,Big,30886,28728,-2159,down
Shareef Jackson,Lafayette,Big,491822,493973,2150,up
Jayden Williams,Incarnate Word,Big,31868,29724,-2144,down
Donovan Rivers,Jacksonville,Big,184719,182582,-2137,down
Gediminas Alisas,Stephen F. Austin,Big,45604,43470,-2134,down
Aiden Miller,IU Indy,Big,36203,34081,-2122,down
Caden Miller,High Point,Big,67724,65604,-2120,down
Pierre Geneste Jr.,Cal St. Bakersfield,Big,116852,114742,-2110,down
Harlan Obioha,West Virginia,Big,321675,319637,-2038,down
Miles Ndalama,Florida A&M,Big,72240,70209,-2032,down
Miles Goodman,UT Arlington,Big,6238,8267,2029,up
Spencer Elliott,Charlotte,Big,43118,41097,-2021,down
Yakhya Diop,Mount St. Mary's,Big,63197,61182,-2015,down
Ismaila Diagne,Gonzaga,Big,90635,88621,-2014,down
James Okonkwo,Utah,Big,112166,110171,-1995,down
Rob Dockery,La Salle,Wing,1225461,1227452,1991,up
Michael Nwoko,LSU,Big,1235614,1237585,1971,up
Matar Diop,Stetson,Big,20151,22088,1936,up
Ben Defty,Boston University,Big,1319972,1318041,-1931,down
Daniel Akoue,Bryant,Big,32784,30864,-1921,down
Christian Richardson,Nebraska Omaha,Big,101329,99425,-1904,down
MJ Thomas,New Orleans,Big,611844,613724,1880,up
Ramel Bethea,Green Bay,Big,178681,180553,1872,up
Grady Lewis,Cal St. Northridge,Big,43235,41390,-1845,down
Evans Kipruto,UC Santa Barbara,Big,75745,73916,-1828,down
Pharrel Payne,Maryland,Big,1089586,1087776,-1811,down
Mohamad Diallo,Rider,Big,29636,27832,-1804,down
Collin Parker,Austin Peay,Wing,1275655,1277458,1803,up
Dimitrije Vukicevic,UC San Diego,Big,29875,31675,1800,up
Errol White,Lamar,Big,47284,45505,-1778,down
Travis Torain,Austin Peay,Big,7749,9524,1775,up
Oleg Kojenets,Stony Brook,Big,50692,48921,-1770,down
Spence Wewe,Quinnipiac,Big,88658,86892,-1766,down
Justin Archer,La Salle,Big,33603,31841,-1762,down
Trent Burns,Missouri,Big,76801,75043,-1758,down
Antonio Dorn,Virginia Tech,Big,66372,64623,-1749,down
Raymond Espinal-Guzman,Stonehill,Big,49800,48052,-1747,down
Houran Dan,Seattle,Big,73786,72051,-1735,down
James Dyson-Merwe,Evansville,Big,8560,10294,1733,up
Chance Moore,West Virginia,Wing,1021682,1023409,1727,up
Tristen Guillouette,Florida Gulf Coast,Big,29541,27854,-1687,down
Max Frazier,Central Connecticut,Big,1069557,1067878,-1679,down
Josh Dix,Creighton,Wing,958111,959765,1654,up
London Maiden,Detroit Mercy,Big,39446,37799,-1646,down
Donavin Young,Stanford,Big,69954,68317,-1637,down
Timo George,Portland,Big,855566,853937,-1629,down
Skylar Wicks,Saint Francis,Wing,1035277,1036893,1616,up
Jimmy Oladokun Jr.,Rice,Big,67279,65668,-1611,down
Caleb Embeya,Towson,Big,47104,45502,-1602,down
Hudson Mayes,UC San Diego,Wing,926428,928013,1585,up
Peitok Machar,McNeese St.,Big,172780,174349,1569,up
Dani Pounds,Tennessee Tech,Big,475571,474008,-1563,down
Yaak Yaak,Oregon St.,Big,82553,81002,-1551,down
Mitchell Holmes,SMU,Big,36288,34743,-1545,down
Apostolos Roumoglou,Richmond,Big,92581,91063,-1518,down
Ian Smikle,Tulsa,Big,41334,39816,-1518,down
Myles Wilmoth,Canisius,Big,73143,71641,-1502,down
Garrett Sundra,Notre Dame,Big,47419,45933,-1486,down
Nils Machowski,Wofford,Wing,890725,889241,-1484,down
Kavien Jones,Tennessee St.,Big,5909,7390,1481,up
R'Chaun King,Alabama St.,Big,27137,25664,-1474,down
Brock Scholl,Nebraska Omaha,Big,43570,45044,1474,up
Emmanuel Stephen,UNLV,Big,36389,34921,-1468,down
KC Ibekwe,Pacific,Big,31619,30163,-1456,down
Chike Ndefo,Towson,Big,7813,9260,1447,up
Gus Larson,Queens,Big,16837,15392,-1445,down
Richard Nweke,Columbia,Big,29306,27925,-1382,down
Will Garlock,Wisconsin,Big,16864,15492,-1372,down
Elliot Lowndes,Southeast Missouri St.,Big,20354,18993,-1361,down
Tyler Koenig,Coppin St.,Big,40812,39477,-1335,down
Josiah Parker,Florida Atlantic,Wing,628389,629711,1322,up
Jeremiah Evans,Louisiana,Big,16625,15306,-1319,down
Erich Harding,Marshall,Big,27110,28412,1301,up
Dionjahe Thomas,Jackson St.,Big,29635,30933,1298,up
Carter Hopoi,Valparaiso,Big,32148,30851,-1296,down
Donovan Raymond,Old Dominion,Big,18691,17398,-1293,down
Cooper Bowser,Furman,Big,684449,683166,-1283,down
Marland Harris,Morgan St.,Big,57943,56667,-1276,down
Augustine Ekwe,New Mexico St.,Big,19492,18241,-1251,down
Malchiah Marable,Central Arkansas,Big,123350,122108,-1242,down
Darrae Goodwin,San Diego,Big,13934,12738,-1196,down
Kuluel Mading,Charlotte,Big,22079,20898,-1181,down
Cory Wells,Prairie View A&M,Wing,593855,595017,1162,up
Charles Caporaso,Jacksonville,Big,34860,36012,1152,up
Malique Ewin,Arkansas,Big,1368816,1367674,-1142,down
Tasman Goodrick,Siena,Big,563382,564517,1135,up
Kabeya Tshibangu,Niagara,Big,14120,13006,-1113,down
Ofri Naveh,Oral Roberts,Wing,537647,538759,1112,up
Lamine Niang,Tennessee Martin,Big,15407,14299,-1107,down
Graham Ike,Gonzaga,Big,1463126,1462025,-1101,down
Frank Mitchell,St. Bonaventure,Big,1426707,1425623,-1084,down
Tay Knox,Texas St.,Big,33683,32600,-1082,down
Rex Stirling,Wofford,Big,40954,39886,-1069,down
Jacob Huggins,Princeton,Big,40862,39795,-1067,down
Jacob Wassler,Bellarmine,Big,17478,16423,-1055,down
Edwin Daniel,La Salle,Big,171986,173036,1050,up
Jordan Scott,Michigan St.,Wing,452352,453389,1037,up
Matas Vokietaitis,Texas,Big,1295226,1294192,-1034,down
Joseph Scott,Abilene Christian,Big,56436,57469,1034,up
Martin de Laporterie,Drexel,Big,24520,23487,-1033,down
Alijah Arenas,USC,Wing,449572,450605,1033,up
Luka Jovanovic,Middle Tennessee,Big,25360,24336,-1024,down
Jaiun Simon,Dayton,Wing,448034,449053,1019,up
TJ Biel,Maine,Wing,478260,479272,1012,up
Christian Beam,Georgia St.,Big,23364,22355,-1009,down
Dylan Faulkner,Samford,Big,1485890,1484889,-1001,down
Kaden Stuckey,VMI,Big,36718,35719,-999,down
Cameron Boone,Missouri St.,Big,14060,13067,-992,down
Lassina Traore,Texas,Big,106605,107586,981,up
Ralph Akuta,Drexel,Big,13283,12320,-963,down
Caleb Shaw,Grand Canyon,Wing,410317,411277,960,up
Kai Yu,Bradley,Big,11311,10361,-950,down
Tariq Ingraham,Memphis,Big,6823,7763,940,up
Declan Peterson,Western Michigan,Big,11752,10816,-936,down
J'Quan Ewing,Saint Peter's,Big,12265,11336,-929,down
Luke Bevilacqua,Lafayette,Big,10814,9885,-929,down
Kerrington Kiel,Troy,Big,27128,26200,-928,down
Jeremiah Burke,Denver,Wing,419245,418317,-927,down
Cyr Malonga,New Mexico St.,Big,12199,11273,-926,down
Blake Buchanan,Iowa St.,Big,1110196,1111114,918,up
Jaden Smith,Saint Joseph's,Big,12682,11770,-912,down
Abdullah Ahmed,BYU,Big,71381,70486,-895,down
Cole Kirouac,Georgia Tech,Big,24274,23389,-885,down
Marcus Glover,Incarnate Word,Big,12551,11676,-876,down
Isaac Johnson,Hawaii,Big,992028,991157,-871,down
Cord Stansberry,Western Carolina,Wing,373181,372322,-858,down
Devyn Franklin,Grambling St.,Big,18964,18112,-852,down
Alex Anderson,Texas Southern,Wing,367899,368750,851,up
Michael Sulaka,Western Michigan,Big,3426,4267,841,up
Blaise Keita,Western Kentucky,Big,18457,17623,-835,down
Kendrick De Luna,Cal St. Fullerton,Big,23915,23135,-780,down
Douglas Langford,San Jose St.,Big,29689,30461,772,up
Randarius Jones,Grambling St.,Big,7644,6874,-770,down
Lefteris Mantzoukas,Oklahoma St.,Big,25651,24883,-768,down
Jaylen Jordon,Jacksonville,Big,8645,7880,-766,down
Arman Madi,Sacramento St.,Wing,293387,294130,743,up
Mihailo Boskovic,BYU,Big,18717,17997,-719,down
Tae Simmons,San Diego St.,Wing,256486,257201,716,up
Michael Houge,Oakland,Wing,276400,277102,702,up
Mor Seck,Towson,Big,25787,25086,-701,down
