name,team,position,old_nil,new_nil,change,direction
Ma'Shy Hill,Abilene Christian,Big,2198,2041,-157,down
Noah Williamson,Alabama,Big,3833,3686,-147,down
Bubz Alvarez,South Dakota St.,Wing,29724,29581,-143,down
Giannos Xanthopoulos,New Hampshire,Big,3815,3676,-139,down
Daniel Thomas,UNC Asheville,Big,8006,8141,135,up
Dezmon Briscoe,Kent St.,Big,26633,26766,134,up
Xavier Istomin-Monroe,Detroit Mercy,Big,1878,1743,-134,down
Leeroy Odiahi,Western Kentucky,Big,905,774,-131,down
Derwin Hodge,South Carolina St.,Big,4109,3978,-131,down
Samuel Obenjo,Robert Morris,Big,1329,1200,-130,down
Keynan Davis,The Citadel,Wing,25497,25371,-126,down
Tristan Gross,Mercer,Wing,25201,25076,-125,down
Corey Dunning,Prairie View A&M,Big,14439,14563,124,up
Chase Martin,Oral Roberts,Wing,22893,22776,-116,down
Stas Sivka,George Mason,Big,1988,1873,-115,down
Maurice Vassel,Maryland Eastern Shore,Big,662,554,-108,down
Kylan Howze,Louisiana Tech,Big,1901,1795,-106,down
Prince Johnson,Eastern Illinois,Big,2365,2260,-105,down
Japhet Moupadele,San Jose St.,Big,1547,1442,-105,down
Nas Hart,La Salle,Big,1909,1806,-102,down
Dallas James,Morgan St.,Big,1683,1586,-97,down
Everett Barnes,Loyola MD,Big,471,560,90,up
Tim Okojie,South Carolina St.,Big,6302,6213,-90,down
Baron Smith Jr.,Oral Roberts,Big,2915,2827,-88,down
Max Burton,Western Michigan,Big,37928,37844,-84,down
Eunique Rink,Hampton,Big,1680,1599,-82,down
Ayomide Bamisile,Louisiana Monroe,Big,8157,8075,-81,down
Chris Eagan,American,Big,414,495,81,up
Addarin Scott,UMKC,Big,7632,7709,77,up
Kyran Ratliff,Louisiana,Big,3011,2934,-76,down
Jaylin Payne,Longwood,Big,266,337,72,up
William Whorton,Memphis,Big,5454,5521,68,up
Zoumana Traore,New Haven,Big,2034,1966,-68,down
Braeden MacVicar,Coastal Carolina,Big,399,332,-67,down
Jake Brack,South Dakota,Big,1150,1083,-66,down
Brandon Gardner,Sacramento St.,Big,1172,1109,-62,down
Lewis Rowe,Incarnate Word,Big,1448,1390,-58,down
Holden Pierre-Louis,Cleveland St.,Big,19379,19327,-52,down
Dennis Asoro,Arkansas Pine Bluff,Big,390,338,-52,down
Jaylen Wharton,Northern Illinois,Big,313,275,-37,down
Tyrone Iroghama,Mississippi Valley St.,Big,517,481,-36,down
Haris Elezovic,Northeastern,Wing,4475,4441,-34,down
Bryson Spell,Elon,Big,10,41,32,up
Youssouf Singare,High Point,Big,675,642,-32,down
Jeremy Ellis,Alcorn St.,Big,355,325,-30,down
Ubong Abasi Etim,Southeastern Louisiana,Big,585,556,-29,down
Enrico Borio,Jacksonville,Wing,3272,3244,-27,down
Christian Green,Stephen F. Austin,Big,787,760,-27,down
Nick Richart,Charlotte,Big,6879,6854,-25,down
Sage Tolentino,UNC Asheville,Big,523,500,-23,down
Elijah Thomas,Eastern Washington,Big,440,417,-23,down
Tyler Robinett,Youngstown St.,Big,292,271,-21,down
Perry Smith Jr.,Kennesaw St.,Big,2079,2099,20,up
Muazibini Adamu,Delaware St.,Big,352,332,-20,down
Ashton Magee,Southern,Big,160,179,19,up
Chance Sutton,Mississippi Valley St.,Big,352,335,-17,down
Bessanty Saragba,Delaware St.,Big,276,261,-14,down
Tate MacKenzie,Milwaukee,Big,211,197,-13,down
NaVaughn Long,Portland,Wing,825,813,-11,down
Riek Riek,Gardner Webb,Big,135,126,-10,down
Jerry Ngopot,Coastal Carolina,Big,139,130,-9,down
Maruan Cicic,Green Bay,Big,175,184,9,up
Fallou Diagne,Southern Miss,Big,71,63,-8,down
John Shanu II,Eastern Michigan,Big,78,73,-6,down
Judson Bjornstad,Samford,Wing,395,400,6,up
Josh Akpovwa,Texas Southern,Big,199,204,5,up
Esteban Mann,Incarnate Word,Big,679,683,4,up
Kobe Butler,Jackson St.,Big,27,31,4,up
James Cooper,Georgia St.,Big,21,19,-2,down
Darin Smith Jr.,Central Connecticut,Wing,,630431,,new
Kiwane Garris Jr.,Cal St. Fullerton,Wing,,395784,,new
