Team,Code,Season
Alabama,ALABAMA-6619,2025-26
Auburn,AUBURN-3666,2025-26
Duke,DUKE-8587,2025-26
Gonzaga,GONZAGA-6763,2025-26
Kansas,KANSAS-3354,2025-26
Kentucky,KENTUCKY-4790,2025-26
Michigan,MICHIGAN-8415,2025-26
Ohio State,OHIOS-1301,2025-26
Rutgers,RUTGERS-9519,2025-26
Texas,TEXAS-6879,2025-26
