player_name,league,season,season_type,stat_type,team,gp,mpg,ppg,fgm,fga,fg%,3pm,3pa,3p%,ftm,fta,ft%,orb,drb,rpg,apg,spg,bpg,tov,pf
Zakaria Mechergui,French LNB Espoirs,2026,Regular_Season,Averages,EMON,24,27.2,13.3,4.6,9.9,.464,1.1,3.2,.338,3.0,4.1,.737,1.5,4.0,5.5,5.5,1.3,0.2,3.3,2.2
Malik Rouamba,French LNB Espoirs,2026,Regular_Season,Averages,EPB,20,27.0,13.2,5.0,10.5,.474,0.9,2.4,.362,2.5,3.5,.710,1.9,4.0,5.9,2.7,1.1,0.2,2.9,1.6
Pape-Djibril Diouf,French LNB Espoirs,2026,Regular_Season,Averages,ASV,28,27.9,13.1,4.6,12.4,.368,1.8,6.5,.275,2.3,3.4,.663,0.6,1.6,2.3,3.0,1.3,0.0,2.9,2.3
Mantas Laurencikas,French LNB Espoirs,2026,Regular_Season,Averages,EMON,27,27.4,13.0,4.4,9.6,.465,0.9,2.7,.347,3.2,4.1,.777,1.6,3.3,5.0,4.4,1.5,0.2,2.9,1.6
Amadou Gueye,French LNB Espoirs,2026,Regular_Season,Averages,ELIM,1,23.0,13.0,6.0,9.0,.667,0.0,1.0,.000,1.0,2.0,.500,4.0,3.0,7.0,4.0,1.0,0.0,3.0,0.0
Axel Villain,French LNB Espoirs,2026,Regular_Season,Averages,EGD,24,31.1,13.0,5.0,12.9,.384,2.0,7.3,.273,1.0,1.4,.735,1.8,4.8,6.5,2.3,0.8,0.1,1.5,2.7
Sublime Gbiegba,French LNB Espoirs,2026,Regular_Season,Averages,EC,27,26.6,12.9,5.5,10.0,.548,0.3,1.5,.200,1.7,2.9,.584,3.3,4.1,7.4,2.7,1.0,0.2,1.3,1.7
Aaron Towo-Nansi,French LNB Espoirs,2026,Regular_Season,Averages,EC,23,21.9,12.9,3.7,9.2,.403,1.6,5.1,.305,3.9,5.0,.789,0.4,1.7,2.0,6.2,2.0,0.0,1.8,1.3
Marvyn Wade,French LNB Espoirs,2026,Regular_Season,Averages,ASV,13,29.6,12.8,4.4,12.1,.363,0.8,4.5,.172,3.2,5.2,.627,0.4,2.2,2.5,4.7,1.9,0.2,3.5,1.8
Isaac Lukudika,French LNB Espoirs,2026,Regular_Season,Averages,ESQ,27,29.1,12.7,4.5,10.3,.437,2.1,5.5,.392,1.6,2.2,.733,1.7,3.8,5.5,1.7,1.6,0.1,2.1,1.7
Adrien Chammartin,French LNB Espoirs,2026,Regular_Season,Averages,ESN,28,30.8,12.6,4.4,10.0,.437,0.7,3.1,.233,3.2,4.7,.682,2.0,5.0,7.0,2.4,1.3,0.1,2.8,2.7
Logan Bourgeois,French LNB Espoirs,2026,Regular_Season,Averages,ES,24,24.4,12.5,4.5,11.5,.395,1.8,5.9,.310,1.5,1.9,.822,0.9,2.3,3.1,4.0,2.0,0.1,2.8,2.4
Karl Chris Zamatta,French LNB Espoirs,2026,Regular_Season,Averages,ED,27,22.8,12.3,5.1,8.8,.578,0.9,1.8,.490,1.3,2.0,.648,2.3,4.0,6.3,1.0,1.6,0.6,1.7,2.5
Gabin Lefort,French LNB Espoirs,2026,Regular_Season,Averages,EC,27,26.0,12.1,4.4,10.0,.439,2.0,5.9,.335,1.4,1.9,.740,0.7,4.1,4.8,1.4,0.9,0.3,1.3,1.9
Jelani Kante,French LNB Espoirs,2026,Regular_Season,Averages,ECS,16,27.6,12.1,4.1,9.8,.414,1.0,3.6,.276,2.9,4.0,.734,2.0,3.6,5.6,4.1,1.9,0.4,4.1,2.3
Erwan Merlin,French LNB Espoirs,2026,Regular_Season,Averages,ES,27,29.5,11.8,4.3,9.6,.448,1.9,5.0,.375,1.3,1.8,.729,1.0,4.0,5.0,3.7,1.4,0.1,1.8,2.2
Sohann Mendy,French LNB Espoirs,2026,Regular_Season,Averages,ECS,26,25.3,11.7,5.0,6.7,.753,0.2,0.3,.571,1.5,2.5,.594,2.7,3.6,6.2,1.1,0.5,1.0,2.0,2.7
Noa Boigne,French LNB Espoirs,2026,Regular_Season,Averages,EGD,23,26.3,11.5,3.9,9.2,.420,0.8,3.3,.240,3.0,4.0,.758,0.7,3.2,3.9,2.6,1.6,0.0,2.7,1.9
Youssouf Yatabare,French LNB Espoirs,2026,Regular_Season,Averages,ENAN,24,26.6,11.4,5.0,10.5,.478,0.5,2.7,.203,0.9,3.0,.292,2.8,4.6,7.4,1.3,1.5,0.5,2.8,3.3
Thomas Duchamp de la Geneste,French LNB Espoirs,2026,Regular_Season,Averages,EC,28,21.6,11.4,4.2,7.7,.549,1.2,2.9,.415,1.8,2.3,.766,0.6,1.7,2.3,2.1,1.3,0.1,2.0,2.5
Hugo Bonaton,French LNB Espoirs,2026,Regular_Season,Averages,ENAN,17,26.3,11.4,3.8,9.1,.416,1.2,3.8,.323,2.6,3.6,.721,1.8,3.4,5.2,1.4,0.8,0.2,1.6,1.1
Emrys Dadeke,French LNB Espoirs,2026,Regular_Season,Averages,ED,28,21.6,11.3,4.0,7.2,.550,0.3,1.1,.226,3.1,4.3,.727,0.5,1.8,2.4,4.1,1.2,0.4,2.1,2.6
Kyllian Michee,French LNB Espoirs,2026,Regular_Season,Averages,EMON,29,26.6,11.1,3.8,9.2,.414,2.1,5.1,.403,1.4,1.8,.804,0.2,1.8,2.0,4.5,1.1,0.1,2.8,3.1
Bastien Courant,French LNB Espoirs,2026,Regular_Season,Averages,EBOU,28,26.3,11.1,4.4,9.0,.490,0.8,2.5,.310,1.5,2.1,.683,2.4,3.1,5.5,1.3,0.9,0.2,1.4,3.0
Romain Berthelin,French LNB Espoirs,2026,Regular_Season,Averages,ESQ,19,24.4,11.0,4.3,8.6,.494,0.9,3.6,.265,1.4,2.1,.692,0.4,1.9,2.3,1.6,1.5,0.2,1.6,1.3
Matteo Vergiat,French LNB Espoirs,2026,Regular_Season,Averages,ED,26,26.7,11.0,4.0,9.1,.443,1.7,4.3,.398,1.2,1.4,.833,0.5,2.5,2.9,3.7,0.8,0.1,1.3,2.1
Milan Albisua-Pisou,French LNB Espoirs,2026,Regular_Season,Averages,EGD,24,23.2,10.7,4.0,8.8,.448,1.1,3.8,.283,1.7,2.7,.631,0.9,1.5,2.5,2.8,0.9,0.0,2.3,1.8
Mateo Vigneault,French LNB Espoirs,2026,Regular_Season,Averages,ECS,18,27.0,10.7,3.7,9.2,.406,1.1,3.6,.313,2.1,2.4,.864,1.1,1.9,3.0,3.7,1.1,0.0,3.3,2.1
Ahmad Dekaki,French LNB Espoirs,2026,Regular_Season,Averages,EBB,29,26.0,10.7,4.0,7.3,.549,0.1,0.4,.154,2.5,4.2,.598,2.4,4.7,7.1,1.7,0.8,0.6,2.2,2.4
Oscar Wembanyama,French LNB Espoirs,2026,Regular_Season,Averages,ES,27,25.5,10.5,4.0,9.4,.420,0.9,3.2,.279,1.7,2.2,.767,1.3,3.9,5.2,2.4,1.8,1.0,2.8,2.0
Stanley Risal,French LNB Espoirs,2026,Regular_Season,Averages,ASV,21,24.2,10.5,3.6,8.3,.437,1.5,4.0,.376,1.7,3.0,.581,1.4,2.2,3.6,0.5,0.9,0.4,2.0,2.1
Salah Kone,French LNB Espoirs,2026,Regular_Season,Averages,ESQ,29,23.0,10.4,3.2,8.4,.377,1.9,5.3,.353,2.2,2.7,.833,0.4,1.1,1.5,3.4,1.4,0.0,2.7,2.4
Swann Penda,French LNB Espoirs,2026,Regular_Season,Averages,ELM,18,26.0,10.4,3.8,9.1,.417,1.1,3.3,.322,1.8,3.4,.532,2.7,4.5,7.2,2.0,0.7,0.3,1.3,1.6
Philibert Loussavouvou,French LNB Espoirs,2026,Regular_Season,Averages,ASV,24,28.1,10.4,4.5,9.1,.489,0.6,2.2,.264,0.9,1.2,.724,2.0,1.8,3.8,2.5,2.4,0.2,1.2,2.0
Samuel Fontanelle,French LNB Espoirs,2026,Regular_Season,Averages,ES,27,24.1,10.3,3.9,8.9,.436,1.6,4.6,.341,1.0,1.3,.743,1.0,2.9,3.8,4.9,1.3,0.0,2.0,1.5
Alexy Ragoo-Francillette,French LNB Espoirs,2026,Regular_Season,Averages,ES,22,26.9,10.1,4.1,8.0,.511,0.3,1.3,.241,1.6,2.2,.714,1.8,3.7,5.5,2.1,2.1,0.8,1.9,2.4
Erwan Djoni,French LNB Espoirs,2026,Regular_Season,Averages,EC,28,22.1,9.9,3.6,6.7,.532,1.2,3.0,.405,1.5,2.1,.712,0.8,2.4,3.2,3.4,1.1,0.0,2.3,1.7
Afeny Cognet,French LNB Espoirs,2026,Regular_Season,Averages,ELM,25,25.8,9.8,3.4,8.8,.386,1.1,3.4,.333,1.9,2.6,.727,0.4,1.1,1.4,4.1,0.9,0.0,1.2,1.6
Devon Fortes,French LNB Espoirs,2026,Regular_Season,Averages,ESQ,27,20.0,9.7,3.5,9.4,.373,1.1,3.8,.284,1.6,2.6,.620,0.8,1.8,2.6,5.2,2.3,0.1,4.6,2.1
Louka Milanese,French LNB Espoirs,2026,Regular_Season,Averages,EBB,25,25.6,9.7,3.6,9.0,.404,1.3,3.8,.340,1.2,1.6,.725,0.9,3.1,4.0,2.2,0.9,0.2,2.0,2.0
Sasha Thiam,French LNB Espoirs,2026,Regular_Season,Averages,ES,26,25.5,9.7,3.9,6.9,.567,0.0,0.4,.100,1.8,3.5,.511,2.5,2.0,4.5,1.7,1.4,0.5,1.5,2.6
Camil Lefkir,French LNB Espoirs,2026,Regular_Season,Averages,ASV,23,21.9,9.7,3.9,8.8,.446,0.7,3.3,.227,1.1,1.9,.568,1.7,4.7,6.5,2.0,1.7,0.2,1.6,1.8
David Paindepice,French LNB Espoirs,2026,Regular_Season,Averages,EMON,20,22.2,9.7,3.5,6.7,.515,0.4,1.3,.269,2.4,3.7,.649,1.5,1.5,2.9,1.2,1.1,0.1,1.1,2.0
Hugo Lasalrary,French LNB Espoirs,2026,Regular_Season,Averages,EBOU,28,22.4,9.6,3.2,7.9,.401,1.7,5.5,.314,1.5,2.1,.717,0.8,3.0,3.8,4.3,1.5,0.0,2.3,1.6
